State Abbr,State FIPS,County FIPS,County Name,Class Code
AL,01,003,Autauga County,H1
AL,01,005,Baldwin County,H1
AL,01,007,Barbour County,H1
AL,01,009,Bibb County,H1
AL,01,011,Blount County,H1
AL,01,013,Bullock County,H1
AL,01,015,Butler County,H1
AL,01,017,Calhoun County,H1
AL,01,019,Chambers County,H1
AL,01,021,Cherokee County,H1
AL,01,023,Chilton County,H1
AL,01,025,Choctaw County,H1
AL,01,027,Clarke County,H1
AL,01,029,Clay County,H1
AL,01,031,Cleburne County,H1
AL,01,033,Coffee County,H1
AL,01,035,Colbert County,H1
AL,01,037,Conecuh County,H1
AL,01,039,Coosa County,H1
AL,01,041,Covington County,H1
AL,01,043,Crenshaw County,H1
AL,01,045,Cullman County,H1
AL,01,047,Dale County,H1
AL,01,049,Dallas County,H1
AL,01,051,DeKalb County,H1
AL,01,053,Elmore County,H1
AL,01,055,Escambia County,H1
AL,01,057,Etowah County,H1
AL,01,059,Fayette County,H1
AL,01,061,Franklin County,H1
AL,01,063,Geneva County,H1
AL,01,065,Greene County,H1
AL,01,067,Hale County,H1
AL,01,069,Henry County,H1
AL,01,071,Houston County,H1
AL,01,073,Jackson County,H1
AL,01,075,Jefferson County,H1
AL,01,077,Lamar County,H1
AL,01,079,Lauderdale County,H1
AL,01,081,Lawrence County,H1
AL,01,083,Lee County,H1
AL,01,085,Limestone County,H1
AL,01,087,Lowndes County,H1
AL,01,089,Macon County,H1
AL,01,091,Madison County,H1
AL,01,093,Marengo County,H1
AL,01,095,Marion County,H1
AL,01,097,Marshall County,H1
AL,01,099,Mobile County,H1
AL,01,101,Monroe County,H1
AL,01,103,Montgomery County,H1
AL,01,105,Morgan County,H1
AL,01,107,Perry County,H1
AL,01,109,Pickens County,H1
AL,01,111,Pike County,H1
AL,01,113,Randolph County,H1
AL,01,115,Russell County,H1
AL,01,117,St. Clair County,H1
AL,01,119,Shelby County,H1
AL,01,121,Sumter County,H1
AL,01,123,Talladega County,H1
AL,01,125,Tallapoosa County,H1
AL,01,127,Tuscaloosa County,H1
AL,01,129,Walker County,H1
AL,01,131,Washington County,H1
AL,01,133,Wilcox County,H1
