Code,Description,Level,Parent_Code
11,"Agriculture, Forestry, Fishing and Hunting",Sector,
111,Crop Production,Subsector,11
1111,Oilseed and Grain Farming,Industry Group,111
11111,Soybean Farming,Industry,1111
111110,Soybean Farming,U.S. Industry,11111
11112,Oilseed (except Soybean) Farming,Industry,1111
111120,Oilseed (except Soybean) Farming,U.S. Industry,11112
11113,Dry Pea and Bean Farming,Industry,1111
111130,Dry Pea and Bean Farming,U.S. Industry,11113
11114,Wheat Farming,Industry,1111
111140,Wheat Farming,U.S. Industry,11114
11115,Corn Farming,Industry,1111
111150,Corn Farming,U.S. Industry,11115
11116,Rice Farming,Industry,1111
111160,Rice Farming,U.S. Industry,11116
11119,Other Grain Farming,Industry,1111
111191,Oilseed and Grain Combination Farming,U.S. Industry,11119
111199,All Other Grain Farming,U.S. Industry,11119
1112,Vegetable and Melon Farming,Industry Group,111
11121,Vegetable and Melon Farming,Industry,1112
111211,Potato Farming,U.S. Industry,11121
111219,Other Vegetable (except Potato) and Melon Farming,U.S. Industry,11121
1113,Fruit and Tree Nut Farming,Industry Group,111
11131,Orange Groves,Industry,1113
111310,Orange Groves,U.S. Industry,11131
11132,Citrus (except Orange) Groves,Industry,1113
111320,Citrus (except Orange) Groves,U.S. Industry,11132
11133,Noncitrus Fruit and Tree Nut Farming,Industry,1113
111331,Apple Orchards,U.S. Industry,11133
111332,Grape Vineyards,U.S. Industry,11133
111333,Strawberry Farming,U.S. Industry,11133
111334,Berry (except Strawberry) Farming,U.S. Industry,11133
111335,Tree Nut Farming,U.S. Industry,11133
111336,Fruit and Tree Nut Combination Farming,U.S. Industry,11133
111339,Other Noncitrus Fruit Farming,U.S. Industry,11133
1114,"Greenhouse, Nursery, and Floriculture Production",Industry Group,111
11141,Food Crops Grown Under Cover,Industry,1114
111411,Mushroom Production,U.S. Industry,11141
111419,Other Food Crops Grown Under Cover,U.S. Industry,11141
11142,Nursery and Floriculture Production,Industry,1114
111421,Nursery and Tree Production,U.S. Industry,11142
111422,Floriculture Production,U.S. Industry,11142
1119,Other Crop Farming,Industry Group,111
11191,Tobacco Farming,Industry,1119
111910,Tobacco Farming,U.S. Industry,11191
11192,Cotton Farming,Industry,1119
111920,Cotton Farming,U.S. Industry,11192
11193,Sugarcane Farming,Industry,1119
111930,Sugarcane Farming,U.S. Industry,11193
11194,Hay Farming,Industry,1119
111940,Hay Farming,U.S. Industry,11194
11199,All Other Crop Farming,Industry,1119
111991,Sugar Beet Farming,U.S. Industry,11199
111992,Peanut Farming,U.S. Industry,11199
111998,All Other Miscellaneous Crop Farming,U.S. Industry,11199
112,Animal Production and Aquaculture,Subsector,11
1121,Cattle Ranching and Farming,Industry Group,112
11211,"Beef Cattle Ranching and Farming, including Feedlots",Industry,1121
112111,Beef Cattle Ranching and Farming,U.S. Industry,11211
112112,Cattle Feedlots,U.S. Industry,11211
11212,Dairy Cattle and Milk Production,Industry,1121
112120,Dairy Cattle and Milk Production,U.S. Industry,11212
11213,Dual-Purpose Cattle Ranching and Farming,Industry,1121
112130,Dual-Purpose Cattle Ranching and Farming,U.S. Industry,11213
1122,Hog and Pig Farming,Industry Group,112
11221,Hog and Pig Farming,Industry,1122
112210,Hog and Pig Farming,U.S. Industry,11221
1123,Poultry and Egg Production,Industry Group,112
11231,Chicken Egg Production,Industry,1123
112310,Chicken Egg Production,U.S. Industry,11231
11232,Broilers and Other Meat Type Chicken Production,Industry,1123
112320,Broilers and Other Meat Type Chicken Production,U.S. Industry,11232
11233,Turkey Production,Industry,1123
112330,Turkey Production,U.S. Industry,11233
11234,Poultry Hatcheries,Industry,1123
112340,Poultry Hatcheries,U.S. Industry,11234
11239,Other Poultry Production,Industry,1123
112390,Other Poultry Production,U.S. Industry,11239
1124,Sheep and Goat Farming,Industry Group,112
11241,Sheep Farming,Industry,1124
112410,Sheep Farming,U.S. Industry,11241
11242,Goat Farming,Industry,1124
112420,Goat Farming,U.S. Industry,11242
1125,Aquaculture,Industry Group,112
11251,Aquaculture,Industry,1125
112511,Finfish Farming and Fish Hatcheries,U.S. Industry,11251
112512,Shellfish Farming,U.S. Industry,11251
112519,Other Aquaculture,U.S. Industry,11251
1129,Other Animal Production,Industry Group,112
11291,Apiculture,Industry,1129
112910,Apiculture,U.S. Industry,11291
11292,Horses and Other Equine Production,Industry,1129
112920,Horses and Other Equine Production,U.S. Industry,11292
11293,Fur-Bearing Animal and Rabbit Production,Industry,1129
112930,Fur-Bearing Animal and Rabbit Production,U.S. Industry,11293
11299,All Other Animal Production,Industry,1129
112990,All Other Animal Production,U.S. Industry,11299
113,Forestry and Logging,Subsector,11
1131,Timber Tract Operations,Industry Group,113
11311,Timber Tract Operations,Industry,1131
113110,Timber Tract Operations,U.S. Industry,11311
1132,Forest Nurseries and Gathering of Forest Products,Industry Group,113
11321,Forest Nurseries and Gathering of Forest Products,Industry,1132
113210,Forest Nurseries and Gathering of Forest Products,U.S. Industry,11321
1133,Logging,Industry Group,113
11331,Logging,Industry,1133
113310,Logging,U.S. Industry,11331
114,"Fishing, Hunting and Trapping",Subsector,11
1141,Fishing,Industry Group,114
11411,Fishing,Industry,1141
114111,Finfish Fishing,U.S. Industry,11411
114112,Shellfish Fishing,U.S. Industry,11411
114119,Other Marine Fishing,U.S. Industry,11411
1142,Hunting and Trapping,Industry Group,114
11421,Hunting and Trapping,Industry,1142
114210,Hunting and Trapping,U.S. Industry,11421
115,Support Activities for Agriculture and Forestry,Subsector,11
1151,Support Activities for Crop Production,Industry Group,115
11511,Support Activities for Crop Production,Industry,1151
115111,Cotton Ginning,U.S. Industry,11511
115112,"Soil Preparation, Planting, and Cultivating",U.S. Industry,11511
115113,"Crop Harvesting, Primarily by Machine",U.S. Industry,11511
115114,Postharvest Crop Activities (except Cotton Ginning),U.S. Industry,11511
115115,Farm Labor Contractors and Crew Leaders,U.S. Industry,11511
115116,Farm Management Services,U.S. Industry,11511
1152,Support Activities for Animal Production,Industry Group,115
11521,Support Activities for Animal Production,Industry,1152
115210,Support Activities for Animal Production,U.S. Industry,11521
1153,Support Activities for Forestry,Industry Group,115
11531,Support Activities for Forestry,Industry,1153
115310,Support Activities for Forestry,U.S. Industry,11531
12,Unknown Sector,Sector,
13,Unknown Sector,Sector,
14,Unknown Sector,Sector,
15,Unknown Sector,Sector,
16,Unknown Sector,Sector,
17,Unknown Sector,Sector,
18,Unknown Sector,Sector,
19,Unknown Sector,Sector,
20,Unknown Sector,Sector,
2017,NAICS UNITED STATES STRUCTURE 35,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 49,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 47,Industry Group,201
